train_size,run,early_epochs,early_acc,early_loss,smart_epochs,smart_acc,smart_loss,param_epochs,param_acc,param_loss,diff_epochs,diff_loss,diff_acc,rel_epochs_saved,utility,smart_better,dataset
500,0,25,0.8314,0.37322668597102165,8,0.8147,0.5509994041919708,17,0.8254,0.3476626586914062,17,-0.17777271822094914,0.016700000000000048,0.679999999728,-0.017299999999999954,False,MNIST
500,1,26,0.8249,0.5010422152280808,8,0.8046,0.6119095802307128,14,0.8198,0.42910103559494017,18,-0.11086736500263206,0.020299999999999985,0.6923076920414201,-0.01570000000000002,False,MNIST
500,2,26,0.8304,0.45250068545341493,8,0.8108,0.4892597675323486,14,0.8332,0.5020635342597961,18,-0.03675908207893369,0.019600000000000062,0.6923076920414201,-0.016399999999999942,False,MNIST
500,3,25,0.8404,0.39672174692153933,8,0.8024,0.5098644185066223,14,0.8212,0.3728168684244156,17,-0.11314267158508301,0.038000000000000034,0.679999999728,0.004000000000000031,True,MNIST
500,4,34,0.8273,0.27299009531736373,8,0.7944,0.530366917848587,14,0.8353,0.38199843645095827,26,-0.2573768225312233,0.03290000000000004,0.7647058821280277,-0.019099999999999964,False,MNIST
500,5,32,0.8309,0.3459062737226486,8,0.7993,0.555896806716919,11,0.8091,0.430094518661499,24,-0.2099905329942704,0.03159999999999996,0.749999999765625,-0.01640000000000004,False,MNIST
500,6,20,0.8375,0.5148693862557411,8,0.8154,0.5042396026849747,13,0.8285,0.496582350730896,12,0.010629783570766382,0.02210000000000001,0.5999999997,-0.001899999999999992,False,MNIST
500,7,19,0.8229,0.5404520547389984,8,0.8087,0.4393294411897659,12,0.8349,0.3587877559661865,11,0.10112261354923247,0.01419999999999999,0.5789473681163435,-0.007800000000000008,False,MNIST
500,8,33,0.8126,0.3634293514490128,8,0.7965,0.48722597122192385,13,0.8249,0.4914004373550415,25,-0.12379661977291107,0.016100000000000003,0.7575757573461891,-0.0339,False,MNIST
500,9,22,0.8257,0.5333026763796807,8,0.8111,0.515199955701828,13,0.8201,0.42444387555122376,14,0.01810272067785268,0.014599999999999946,0.6363636360743802,-0.013400000000000054,False,MNIST
1000,0,16,0.865,0.5124219936132431,8,0.8623,0.34696765661239626,8,0.8602,0.467178373336792,8,0.16545433700084688,0.0027000000000000357,0.4999999996875,-0.013299999999999965,False,MNIST
1000,1,19,0.8637,0.3954711276292801,8,0.8584,0.5134285926818848,8,0.8526,0.43068025887012484,11,-0.11795746505260468,0.005299999999999971,0.5789473681163435,-0.016700000000000027,False,MNIST
1000,2,23,0.8584,0.4514258599281311,8,0.8526,0.4588509726524353,8,0.8544,0.4299572217464447,15,-0.007425112724304184,0.005800000000000027,0.6521739127599243,-0.02419999999999997,False,MNIST
1000,3,20,0.8563,0.32989465445280075,8,0.8481,0.6150207567214966,8,0.8607,0.5274322152137756,12,-0.28512610226869584,0.008199999999999985,0.5999999997,-0.015800000000000015,False,MNIST
1000,4,22,0.8747,0.4866099500656128,8,0.8565,0.348499048948288,8,0.8479,0.5114677560329437,14,0.13811090111732482,0.018199999999999994,0.6363636360743802,-0.009800000000000007,False,MNIST
1000,5,19,0.8646,0.43807605147361756,8,0.8518,0.4921334910392761,8,0.8557,0.4361362016201019,11,-0.05405743956565856,0.012800000000000034,0.5789473681163435,-0.009199999999999965,False,MNIST
1000,6,23,0.8666,0.5092863249778747,8,0.8683,0.4624724745750427,8,0.8629,0.48831342816352846,15,0.046813850402832036,-0.0016999999999999238,0.6521739127599243,-0.03169999999999992,False,MNIST
1000,7,24,0.8601,0.40207848727703094,8,0.853,0.4469152879714966,9,0.8621,0.40948073506355287,16,-0.04483680069446566,0.007099999999999995,0.6666666663888888,-0.024900000000000005,False,MNIST
1000,8,16,0.8706,0.4536812496185303,8,0.8455,0.5102417480945587,8,0.8482,0.5676506519317627,8,-0.0565604984760284,0.02510000000000001,0.4999999996875,0.00910000000000001,True,MNIST
1000,9,18,0.8615,0.5000802057981492,8,0.8607,0.4762757956981659,8,0.854,0.4378814446926117,10,0.023804410099983242,0.0008000000000000229,0.5555555552469136,-0.019199999999999978,False,MNIST
2000,0,19,0.8907,0.29091680496931077,8,0.881,0.37693270087242126,8,0.8852,0.38268200159072874,11,-0.08601589590311048,0.009700000000000042,0.5789473681163435,-0.012299999999999957,False,MNIST
2000,1,19,0.8924,0.390765523314476,8,0.8853,0.35356330752372744,8,0.8836,0.3568157331645489,11,0.03720221579074856,0.007099999999999995,0.5789473681163435,-0.014900000000000004,False,MNIST
2000,2,17,0.8826,0.374291715323925,8,0.8918,0.43570021480321885,8,0.8793,0.4728958247601986,9,-0.06140849947929383,-0.009199999999999986,0.5294117643944637,-0.027199999999999988,False,MNIST
2000,3,18,0.8947,0.3947378847002983,8,0.8885,0.3414155384898186,8,0.8854,0.41791521608829496,10,0.05332234621047971,0.006200000000000094,0.5555555552469136,-0.013799999999999906,False,MNIST
2000,4,19,0.8871,0.32792902380228045,8,0.8887,0.41761100649833677,8,0.892,0.38582689613103865,11,-0.08968198269605632,-0.0016000000000000458,0.5789473681163435,-0.023600000000000045,False,MNIST
2000,5,17,0.8917,0.3561697919666767,8,0.8914,0.3231124469637871,8,0.8891,0.2929663187265396,9,0.03305734500288959,0.000300000000000078,0.5294117643944637,-0.017699999999999924,False,MNIST
2000,6,21,0.8914,0.3080418989062309,8,0.8894,0.3362355467677116,8,0.8913,0.40536751806735993,13,-0.02819364786148071,0.0020000000000000018,0.6190476187528344,-0.024,False,MNIST
2000,7,16,0.8885,0.3948562869429588,8,0.8918,0.3216004729270935,8,0.8901,0.33547632694244384,8,0.07325581401586534,-0.0033000000000000806,0.4999999996875,-0.01930000000000008,False,MNIST
2000,8,20,0.8932,0.26681669492274523,8,0.8906,0.36516147673130034,8,0.8883,0.36557808101177214,12,-0.0983447818085551,0.0026000000000000467,0.5999999997,-0.021399999999999954,False,MNIST
2000,9,19,0.896,0.3435178489983082,8,0.8921,0.3940525206923485,8,0.8806,0.402884356379509,11,-0.0505346716940403,0.0039000000000000146,0.5789473681163435,-0.018099999999999984,False,MNIST
5000,0,16,0.9189,0.286538299292326,200,0.9174,0.30136965441703795,8,0.9102,0.30701394358277323,-184,-0.014831355124711953,0.0015000000000000568,-11.4999999928125,0.36950000000000005,True,MNIST
5000,1,21,0.9194,0.2543106698840857,8,0.916,0.2939684513807297,8,0.9104,0.2464436382651329,13,-0.03965778149664401,0.0033999999999999586,0.6190476187528344,-0.022600000000000044,False,MNIST
5000,2,14,0.9182,0.3225970903038979,10,0.908,0.264115379974246,8,0.9103,0.2804684952497482,4,0.05848171032965188,0.010199999999999987,0.28571428551020406,0.0021999999999999867,True,MNIST
5000,3,17,0.9203,0.22887059509754182,8,0.9172,0.29424153739213943,8,0.9172,0.27019891946017743,9,-0.06537094229459761,0.0030999999999999917,0.5294117643944637,-0.01490000000000001,False,MNIST
5000,4,23,0.9174,0.2811777090579271,8,0.9112,0.3217068682014942,8,0.9131,0.3037335330247879,15,-0.040529159143567084,0.006199999999999983,0.6521739127599243,-0.023800000000000016,False,MNIST
5000,5,16,0.9153,0.3365582904815674,8,0.9164,0.27967795414477586,8,0.9113,0.2517475138604641,8,0.056880336336791515,-0.0010999999999999899,0.4999999996875,-0.01709999999999999,False,MNIST
5000,6,28,0.9191,0.23472065866552294,8,0.9135,0.22883254677057266,9,0.9174,0.2525381328761578,20,0.005888111894950282,0.005600000000000049,0.7142857140306123,-0.03439999999999995,False,MNIST
5000,7,23,0.9177,0.2813953202366829,9,0.9119,0.26648134577274324,8,0.9132,0.28873331570625305,14,0.014913974463939661,0.005799999999999916,0.6086956519092628,-0.022200000000000084,False,MNIST
