task,holdout,is_classifier,train_size,run,strat,epochs,quality,oracle
MNIST,False,True,300,0,early,51,0.8323999643325806,0.8348999619483948
MNIST,False,True,300,0,smart_trend,41,0.8276000022888184,0.8348999619483948
MNIST,False,True,300,0,smart_meta,41,0.8276000022888184,0.8348999619483948
MNIST,False,True,300,0,param,75,0.8348999619483948,0.8348999619483948
MNIST,False,True,300,1,early,54,0.8428999781608582,0.8428999781608582
MNIST,False,True,300,1,smart_trend,38,0.8285999894142151,0.8428999781608582
MNIST,False,True,300,1,smart_meta,37,0.8326999545097351,0.8428999781608582
MNIST,False,True,300,1,param,69,0.8428999781608582,0.8428999781608582
MNIST,False,True,300,2,early,59,0.8499000072479248,0.8499999642372131
MNIST,False,True,300,2,smart_trend,44,0.8428999781608582,0.8499999642372131
MNIST,False,True,300,2,smart_meta,44,0.8428999781608582,0.8499999642372131
MNIST,False,True,300,2,param,87,0.8499999642372131,0.8499999642372131
MNIST,False,True,300,3,early,57,0.8482999801635742,0.8482999801635742
MNIST,False,True,300,3,smart_trend,42,0.8364999890327454,0.8482999801635742
MNIST,False,True,300,3,smart_meta,42,0.8364999890327454,0.8482999801635742
MNIST,False,True,300,3,param,79,0.8482999801635742,0.8482999801635742
MNIST,False,True,800,0,early,37,0.8823999762535095,0.8845999836921692
MNIST,False,True,800,0,smart_trend,35,0.8823999762535095,0.8845999836921692
MNIST,False,True,800,0,smart_meta,31,0.8783999681472778,0.8845999836921692
MNIST,False,True,800,0,param,30,0.8772000074386597,0.8845999836921692
MNIST,False,True,800,1,early,51,0.8912000060081482,0.8912000060081482
MNIST,False,True,800,1,smart_trend,37,0.8868999481201172,0.8912000060081482
MNIST,False,True,800,1,smart_meta,31,0.8840999603271484,0.8912000060081482
MNIST,False,True,800,1,param,26,0.8784999847412109,0.8912000060081482
MNIST,False,True,800,2,early,37,0.8804999589920044,0.8804999589920044
MNIST,False,True,800,2,smart_trend,31,0.8789999485015869,0.8804999589920044
MNIST,False,True,800,2,smart_meta,27,0.8769999742507935,0.8804999589920044
MNIST,False,True,800,2,param,30,0.8789999485015869,0.8804999589920044
