task,horizon,trend,param
cifar10,1,0.019194754433444202,0.012428551195880128
cifar10,2,0.004713351659353473,0.011479437897618959
cifar10,3,0.006642521651914945,0.00012354085536628103
cifar10,4,0.002239089781492109,0.009005147475414463
cifar10,5,0.007263380516492965,0.0004973237988648122
cifar10,6,0.011240693912276108,0.00447463739266991
cifar10,7,0.011320424784341582,0.004554368304900147
cifar10,8,0.03622975356818303,0.029463697096888255
cifar10,9,0.019021079302318628,0.02578713577196102
cifar10,10,0.004173865850995684,0.01093992232030287
cifar10,1,0.012928087477709991,0.0002507154023830181
cifar10,2,0.0056186902107444045,0.009132322468929381
cifar10,3,0.01669337467517105,0.0003701487062158779
cifar10,4,0.02224290223739566,0.004347462278191962
cifar10,5,0.023894847275902707,0.00442719318564888
cifar10,6,0.05037639022618573,0.029336521976599313
cifar10,7,0.003302228477874462,0.025914310892474413
cifar10,8,0.013117199139890054,0.01106709744086468
cifar10,9,0.02487112494694824,0.0008853858001902653
cifar10,10,0.017868136592444604,0.009460588321123977
cifar10,1,0.012603672784501065,0.0013666027277704528
cifar10,2,0.019682188666800198,0.005343916552125485
cifar10,3,0.02286312202538166,0.005423647516892409
cifar10,4,0.050873653295739105,0.030332976320785392
cifar10,5,0.0012759770882465674,0.024917856545378987
cifar10,6,0.016672438849592366,0.01007064309311794
cifar10,7,0.02995535297672518,0.00011106854770171407
cifar10,8,0.02448135294229596,0.008464133973199617
cifar10,9,0.010977751915579799,0.025068937486422277
cifar10,10,0.021760978623972308,0.017386913264543648
cifar10,1,0.0004432085152571788,0.004834418562656673
cifar10,2,0.025716014942290335,0.02974374735741258
cifar10,3,0.029171340285019408,0.025507085510828625
cifar10,4,0.01396064919050476,0.010659872059037474
cifar10,5,0.003415459906696337,0.0004781604183238225
cifar10,6,0.01162718478444984,0.009053362939248992
cifar10,7,0.02786851065449008,0.025658166452476927
cifar10,8,0.019823008789421854,0.01797614223059956
cifar10,9,0.012625440218606752,0.011142051302975957
cifar10,10,0.033716362405805736,0.03259645113336665
cifar10,1,0.055250832870501664,0.028051492097843266
cifar10,2,0.040403619419178714,0.013204278646501125
cifar10,3,0.030221907778562,0.003022567005881242
cifar10,4,0.038797110299507206,0.01159776952682603
cifar10,5,0.055401913812739366,0.028202573040057972
cifar10,6,0.04771988959086284,0.020520548818181453
cifar10,7,0.04088579866323945,0.013686457890558057
cifar10,8,0.062340198493630136,0.03514085772094875
cifar10,9,0.05434587614715057,0.02714653537446918
cifar10,10,0.03721438453655978,0.010015043763878385
cifar10,1,0.013697775146256403,0.00037495936259608105
cifar10,2,0.008638636130950773,0.00895016188351819
cifar10,3,0.004450103876641697,0.025554965396745493
cifar10,4,0.006747983850874403,0.017872941174868023
cifar10,5,0.017098138284137483,0.011038850247244417
cifar10,6,0.0008401980406136291,0.032493250077635004
cifar10,7,0.01067018781150562,0.02449892773115544
cifar10,8,0.031317742927735995,0.0073674361205646405
cifar10,9,0.028386421560677798,0.013814820993262525
cifar10,10,0.007910797462746625,0.037806508596833384
cifar10,1,0.012454591585726687,0.025018376164720163
cifar10,2,0.0006223554363448064,0.017336351942841426
cifar10,3,0.010361947418784054,0.010502261015217505
cifar10,4,0.0069422404841011694,0.03195666084560809
cifar10,5,0.005202293789883756,0.023962338499128526
cifar10,6,0.026483997327980017,0.006830846888537728
cifar10,7,0.0241868243827876,0.013278231761235612
cifar10,8,0.004345348706722211,0.03726991936480647
cifar10,9,0.028401947077080016,0.017363532921954025
cifar10,10,0.053683954589126025,0.003768262662586522
cifar10,1,0.007288815764864394,0.008291274435856932
cifar10,2,0.0137108592282853,0.029745674266244353
cifar10,3,0.005261812044564841,0.02175135191976405
cifar10,4,0.012324404403266955,0.004619860309173042
cifar10,5,0.006331744367810069,0.01106724518187082
cifar10,6,0.017205218398519788,0.03505893278544168
cifar10,7,0.0031558928815736543,0.015152546342589232
cifar10,8,0.0247424133033552,0.005979249241951315
cifar10,9,0.011008152546385035,0.030226041445029814
cifar10,10,0.005163293938603159,0.014509319797282616
cifar10,1,0.012542193616327139,0.019917121838157602
cifar10,2,0.03422155649676541,0.002785630227562586
cifar10,3,0.0323220428939151,0.00923301510025931
cifar10,4,0.012878226560191709,0.033224702703829746
cifar10,5,0.03733248427289173,0.013318316260977193
cifar10,6,0.06301215112727984,0.007813479323563353
cifar10,7,0.03135473171014619,0.028391811363417774
cifar10,8,0.05161932462774096,0.012675089715670579
cifar10,9,0.0553587316500893,0.013483553963169703
cifar10,10,0.07198503725929865,0.0014051196238079298
cifar10,1,0.006447384872697884,0.00821653980517075
cifar10,2,0.03043907247626874,0.0322082274087395
cifar10,3,0.010532686033416295,0.012301840965886419
cifar10,4,0.010599109551124251,0.008829954618654339
cifar10,5,0.025606181135856877,0.02737533606832668
cifar10,6,0.009889459488109681,0.011658614420579487
cifar10,7,0.010697923735608805,0.012467078668078611
cifar10,8,0.0013805106037529684,0.0003886443287168385
cifar10,9,0.003491113631895248,0.0017219586994254412
cifar10,10,0.003986656857353316,0.0022175019248835085
cifar10,1,0.02163985823954496,0.010601796478556675
cifar10,2,0.044505125620778026,0.010529999105989462
cifar10,3,0.010033306730489307,0.025675291580989662
cifar10,4,0.02748350017492902,0.009958569933241727
cifar10,5,0.02840850772412241,0.01076703418074064
cifar10,6,0.0422204138601767,0.001311400158621238
cifar10,7,0.04606448868501149,0.0034220031867635177
cifar10,8,0.04829350370716208,0.003917546412221585
cifar10,9,0.035348114241914114,0.010761314849718793
cifar10,10,0.032248071800756756,0.015594829087568669
cifar10,1,0.036205290686981126,0.025672454282558807
cifar10,2,0.02048856903923393,0.009955732634810874
cifar10,3,0.021297033286733054,0.010764196882309786
cifar10,4,0.009218598947371282,0.001314237457052092
cifar10,5,0.007107995919229003,0.003424840485194372
cifar10,6,0.006612452693770935,0.003920383710652439
cifar10,7,0.02129131395571131,0.010758477551287938
cifar10,8,0.026124828193561187,0.015591991789137814
cifar10,9,0.03192298405473162,0.021390147650308246
cifar10,10,0.01355232293177665,0.0030194865273532744
cifar10,1,0.0008084642474991235,0.009434715729532226
cifar10,2,0.011269970091862648,0.0026437186098316567
cifar10,3,0.01338057312000493,0.00475432163797478
cifar10,4,0.013876116345462996,0.005249864863433164
cifar10,5,0.0008027449164773814,0.009428996398507108
cifar10,6,0.005636259154327257,0.014262510636356878
cifar10,7,0.011434415015497688,0.02006066649752731
cifar10,8,0.006936246107457283,0.0016900053745723385
cifar10,9,0.0035591227067181415,0.012185374188747763
cifar10,10,0.014479250946577598,0.005852999464547977
cifar10,1,0.0021106030281422797,0.004996735347151031
cifar10,2,0.002606146253600347,0.005492278572609732
cifar10,3,0.012072715008340031,0.00918658268933033
cifar10,4,0.016906229246189907,0.014020096927180205
cifar10,5,0.022704385107360336,0.019818252788350532
cifar10,6,0.0043337239844053665,0.00144759166539556
cifar10,7,0.01482909279858079,0.011942960479570984
cifar10,8,0.0032092808547149487,0.006095413173724755
cifar10,9,0.002846584664672791,3.9547654337015424e-05
