task,train_size,lr,strat,stop_ep,gap,max_jump,roughness,room_after_decide,_cid
cifar10,6000,0.003,early,8,0.03479999303817749,0.060932506910763906,0.026477982517664034,0.028375526518216176,0
cifar10,6000,0.003,smart_trend,11,0.05749998986721039,0.060932506910763906,0.026477982517664034,0.028375526518216176,0
cifar10,6000,0.003,smart_meta,11,0.05749998986721039,0.060932506910763906,0.026477982517664034,0.028375526518216176,0
cifar10,6000,0.003,param,11,0.05749998986721039,0.060932506910763906,0.026477982517664034,0.028375526518216176,0
cifar10,2000,0.0005,early,20,0.03630000352859497,0.045957434255424645,0.02123847170560495,0.05434448476077214,1
cifar10,2000,0.0005,smart_trend,14,0.05160000920295715,0.045957434255424645,0.02123847170560495,0.05434448476077214,1
cifar10,2000,0.0005,smart_meta,11,0.0690000057220459,0.045957434255424645,0.02123847170560495,0.05434448476077214,1
cifar10,2000,0.0005,param,11,0.0690000057220459,0.045957434255424645,0.02123847170560495,0.05434448476077214,1
cifar10,800,0.003,early,17,0.04189997911453247,0.08616704733795277,0.022154119336105695,0.04392827826667456,2
cifar10,800,0.003,smart_trend,11,0.06209997832775116,0.08616704733795277,0.022154119336105695,0.04392827826667456,2
cifar10,800,0.003,smart_meta,11,0.06209997832775116,0.08616704733795277,0.022154119336105695,0.04392827826667456,2
cifar10,800,0.003,param,11,0.06209997832775116,0.08616704733795277,0.022154119336105695,0.04392827826667456,2
cifar10,800,0.001,early,22,0.0487000048160553,0.08916767804928982,0.03246056609427081,0.054638666480218645,3
cifar10,800,0.001,smart_trend,13,0.061700016260147095,0.08916767804928982,0.03246056609427081,0.054638666480218645,3
cifar10,800,0.001,smart_meta,13,0.061700016260147095,0.08916767804928982,0.03246056609427081,0.054638666480218645,3
cifar10,800,0.001,param,11,0.061700016260147095,0.08916767804928982,0.03246056609427081,0.054638666480218645,3
cifar10,2000,0.005,early,13,0.034299999475479126,0.20257103892521489,0.06264774085605053,0.018417336015598584,4
cifar10,2000,0.005,smart_trend,13,0.034299999475479126,0.20257103892521489,0.06264774085605053,0.018417336015598584,4
cifar10,2000,0.005,smart_meta,11,0.034299999475479126,0.20257103892521489,0.06264774085605053,0.018417336015598584,4
cifar10,2000,0.005,param,11,0.034299999475479126,0.20257103892521489,0.06264774085605053,0.018417336015598584,4
cifar10,300,0.003,early,24,0.03020000457763672,0.17887081050868026,0.08357756744259862,0.05554217103088055,5
cifar10,300,0.003,smart_trend,11,0.06450000405311584,0.17887081050868026,0.08357756744259862,0.05554217103088055,5
cifar10,300,0.003,smart_meta,11,0.06450000405311584,0.17887081050868026,0.08357756744259862,0.05554217103088055,5
cifar10,300,0.003,param,11,0.06450000405311584,0.17887081050868026,0.08357756744259862,0.05554217103088055,5
cifar10,800,0.0003,early,32,0.05059999227523804,0.11378686943239336,0.04864717654582388,0.07750424478212403,6
cifar10,800,0.0003,smart_trend,17,0.07559999823570251,0.11378686943239336,0.04864717654582388,0.07750424478212403,6
cifar10,800,0.0003,smart_meta,13,0.0812000036239624,0.11378686943239336,0.04864717654582388,0.07750424478212403,6
cifar10,800,0.0003,param,11,0.09650000929832458,0.11378686943239336,0.04864717654582388,0.07750424478212403,6
cifar10,6000,0.0003,early,43,0.018600016832351685,0.0335101787380645,0.012640504430221891,0.0843704462057191,7
cifar10,6000,0.0003,smart_trend,14,0.07140001654624939,0.0335101787380645,0.012640504430221891,0.0843704462057191,7
cifar10,6000,0.0003,smart_meta,13,0.07400000095367432,0.0335101787380645,0.012640504430221891,0.0843704462057191,7
cifar10,6000,0.0003,param,11,0.07400000095367432,0.0335101787380645,0.012640504430221891,0.0843704462057191,7
cifar10,2000,0.003,early,12,0.043200016021728516,0.053363157760226265,0.024196205579073066,0.04711187923544191,8
cifar10,2000,0.003,smart_trend,11,0.043200016021728516,0.053363157760226265,0.024196205579073066,0.04711187923544191,8
cifar10,2000,0.003,smart_meta,11,0.043200016021728516,0.053363157760226265,0.024196205579073066,0.04711187923544191,8
cifar10,2000,0.003,param,11,0.043200016021728516,0.053363157760226265,0.024196205579073066,0.04711187923544191,8
cifar10,6000,0.003,early,21,0.01580001413822174,0.044958812494902634,0.024209532910370177,0.03607558589190851,9
cifar10,6000,0.003,smart_trend,11,0.023100003600120544,0.044958812494902634,0.024209532910370177,0.03607558589190851,9
cifar10,6000,0.003,smart_meta,11,0.023100003600120544,0.044958812494902634,0.024209532910370177,0.03607558589190851,9
cifar10,6000,0.003,param,11,0.023100003600120544,0.044958812494902634,0.024209532910370177,0.03607558589190851,9
cifar10,2000,0.005,early,29,0.011899992823600769,0.07239015488701661,0.03306762135368893,0.062189238925482004,10
cifar10,2000,0.005,smart_trend,11,0.038599997758865356,0.07239015488701661,0.03306762135368893,0.062189238925482004,10
cifar10,2000,0.005,smart_meta,11,0.038599997758865356,0.07239015488701661,0.03306762135368893,0.062189238925482004,10
cifar10,2000,0.005,param,11,0.038599997758865356,0.07239015488701661,0.03306762135368893,0.062189238925482004,10
cifar10,6000,0.0005,early,24,0.022200018167495728,0.0472791312761105,0.01639187624202439,0.07484900247232018,11
cifar10,6000,0.0005,smart_trend,15,0.03560000658035278,0.0472791312761105,0.01639187624202439,0.07484900247232018,11
cifar10,6000,0.0005,smart_meta,11,0.052199989557266235,0.0472791312761105,0.01639187624202439,0.07484900247232018,11
cifar10,6000,0.0005,param,11,0.052199989557266235,0.0472791312761105,0.01639187624202439,0.07484900247232018,11
cifar10,800,0.0003,early,59,0.009700000286102295,0.011468978833047316,0.006456192335524511,0.07716867811680206,12
cifar10,800,0.0003,smart_trend,11,0.10020001232624054,0.011468978833047316,0.006456192335524511,0.07716867811680206,12
cifar10,800,0.0003,smart_meta,13,0.08820000290870667,0.011468978833047316,0.006456192335524511,0.07716867811680206,12
cifar10,800,0.0003,param,11,0.10020001232624054,0.011468978833047316,0.006456192335524511,0.07716867811680206,12
cifar10,6000,0.001,early,31,0.06389999389648438,0.022549422998616397,0.011242478602534715,0.06073736363772031,13
